species,body_mass_g
Gentoo,5850.0
Gentoo,4200.0
Gentoo,5850.0
Gentoo,4150.0
Gentoo,6300.0
Gentoo,4800.0
Gentoo,5350.0
Gentoo,5700.0
Gentoo,5000.0
Gentoo,4400.0
Gentoo,5050.0
Gentoo,5000.0
Gentoo,5100.0
Gentoo,5650.0
Gentoo,4600.0
Gentoo,5550.0
Gentoo,5250.0
Gentoo,4700.0
Gentoo,5050.0
Gentoo,6050.0
Gentoo,5150.0
Gentoo,5400.0
Gentoo,4950.0
Gentoo,5250.0
Gentoo,4350.0
Gentoo,5350.0
Gentoo,3950.0
Gentoo,5700.0
Gentoo,4300.0
Gentoo,4750.0
Gentoo,5550.0
Gentoo,4900.0
Gentoo,4200.0
Gentoo,5400.0
Gentoo,5100.0
Gentoo,5300.0
Gentoo,4850.0
Gentoo,5300.0
Gentoo,4400.0
Gentoo,5000.0
Gentoo,4900.0
Gentoo,5050.0
Gentoo,4300.0
Gentoo,5000.0
Gentoo,4450.0
Gentoo,5550.0
Gentoo,4200.0
Gentoo,5300.0
Gentoo,4400.0
Gentoo,5650.0
Gentoo,4700.0
Gentoo,5700.0
Gentoo,5800.0
Gentoo,4700.0
Gentoo,5550.0
Gentoo,4750.0
Gentoo,5000.0
Gentoo,5100.0
Gentoo,5200.0
Gentoo,4700.0
Gentoo,5800.0
Gentoo,4600.0
Gentoo,6000.0
Gentoo,4750.0
Gentoo,5950.0
Gentoo,4625.0
Gentoo,5450.0
Gentoo,4725.0
Gentoo,5350.0
Gentoo,4750.0
Gentoo,5600.0
Gentoo,4600.0
Gentoo,5300.0
Gentoo,4875.0
Gentoo,5550.0
Gentoo,4950.0
Gentoo,5400.0
Gentoo,4750.0
Gentoo,5650.0
Gentoo,4850.0
Gentoo,5200.0
Gentoo,4925.0
Gentoo,4875.0
Gentoo,4625.0
Gentoo,5250.0
Gentoo,4850.0
Gentoo,5600.0
Gentoo,4975.0
Gentoo,5500.0
Gentoo,5500.0
Gentoo,4700.0
Gentoo,5500.0
Gentoo,4575.0
Gentoo,5500.0
Gentoo,5000.0
Gentoo,5950.0
Gentoo,4650.0
Gentoo,5500.0
Gentoo,4375.0
Gentoo,5850.0
Gentoo,6000.0
Gentoo,4925.0
Gentoo,4850.0
Gentoo,5750.0
Gentoo,5200.0
Gentoo,5400.0
Chinstrap,3500.0
Chinstrap,3900.0
Chinstrap,3650.0
Chinstrap,3525.0
Chinstrap,3725.0
Chinstrap,3950.0
Chinstrap,3250.0
Chinstrap,3750.0
Chinstrap,4150.0
Chinstrap,3700.0
Chinstrap,3800.0
Chinstrap,3775.0
Chinstrap,3700.0
Chinstrap,4050.0
Chinstrap,3575.0
Chinstrap,4050.0
Chinstrap,3300.0
Chinstrap,3700.0
Chinstrap,3450.0
Chinstrap,4400.0
Chinstrap,3600.0
Chinstrap,3400.0
Chinstrap,2900.0
Chinstrap,3800.0
Chinstrap,3300.0
Chinstrap,4150.0
Chinstrap,3400.0
Chinstrap,3800.0
Chinstrap,3700.0
Chinstrap,4550.0
Chinstrap,3200.0
Chinstrap,4300.0
Chinstrap,3350.0
Chinstrap,4100.0
Chinstrap,3600.0
Chinstrap,3900.0
Chinstrap,3850.0
Chinstrap,4800.0
Chinstrap,2700.0
Chinstrap,4500.0
Chinstrap,3950.0
Chinstrap,3650.0
Chinstrap,3550.0
Chinstrap,3500.0
Chinstrap,3675.0
Chinstrap,4450.0
Chinstrap,3400.0
Chinstrap,4300.0
Chinstrap,3250.0
Chinstrap,3675.0
Chinstrap,3325.0
Chinstrap,3950.0
Chinstrap,3600.0
Chinstrap,4050.0
Chinstrap,3350.0
Chinstrap,3450.0
Chinstrap,3250.0
Chinstrap,4050.0
Chinstrap,3800.0
Chinstrap,3525.0
Chinstrap,3950.0
Chinstrap,3650.0
Chinstrap,3650.0
Chinstrap,4000.0
Chinstrap,3400.0
Chinstrap,3775.0
Chinstrap,4100.0
Chinstrap,3775.0
